window,k,strategy,split,n,mean_block_rate,median_block_rate
time:1h,1,random,all,4203,0.0059,0.0
time:1h,1,random,rumor,2065,0.0109,0.0007
time:1h,1,random,nonrumor,2138,0.0011,0.0
time:1h,1,earliest,all,4203,0.0117,0.0
time:1h,1,earliest,rumor,2065,0.0214,0.0
time:1h,1,earliest,nonrumor,2138,0.0024,0.0
time:1h,1,followers,all,4203,0.0431,0.0
time:1h,1,followers,rumor,2065,0.0531,0.0006
time:1h,1,followers,nonrumor,2138,0.0335,0.0
time:1h,1,outdegree_obs,all,4203,0.053,0.0023
time:1h,1,outdegree_obs,rumor,2065,0.069,0.0079
time:1h,1,outdegree_obs,nonrumor,2138,0.0376,0.0
time:1h,1,greedy_oracle,all,4203,0.0791,0.023
time:1h,1,greedy_oracle,rumor,2065,0.1029,0.0381
time:1h,1,greedy_oracle,nonrumor,2138,0.0561,0.0143
time:1h,5,random,all,4203,0.022,0.0017
time:1h,5,random,rumor,2065,0.0382,0.0087
time:1h,5,random,nonrumor,2138,0.0063,0.0
time:1h,5,earliest,all,4203,0.0311,0.0
time:1h,5,earliest,rumor,2065,0.055,0.0034
time:1h,5,earliest,nonrumor,2138,0.0081,0.0
time:1h,5,followers,all,4203,0.0762,0.0115
time:1h,5,followers,rumor,2065,0.0993,0.0233
time:1h,5,followers,nonrumor,2138,0.054,0.0054
time:1h,5,outdegree_obs,all,4203,0.0793,0.013
time:1h,5,outdegree_obs,rumor,2065,0.1055,0.0278
time:1h,5,outdegree_obs,nonrumor,2138,0.054,0.0046
time:1h,5,greedy_oracle,all,4203,0.1181,0.0444
time:1h,5,greedy_oracle,rumor,2065,0.1548,0.08
time:1h,5,greedy_oracle,nonrumor,2138,0.0827,0.029
time:1h,10,random,all,4203,0.0331,0.0042
time:1h,10,random,rumor,2065,0.0571,0.0177
time:1h,10,random,nonrumor,2138,0.0099,0.001
time:1h,10,earliest,all,4203,0.0442,0.0001
time:1h,10,earliest,rumor,2065,0.0763,0.0135
time:1h,10,earliest,nonrumor,2138,0.0133,0.0
time:1h,10,followers,all,4203,0.0888,0.0196
time:1h,10,followers,rumor,2065,0.117,0.0367
time:1h,10,followers,nonrumor,2138,0.0615,0.0106
time:1h,10,outdegree_obs,all,4203,0.0886,0.0176
time:1h,10,outdegree_obs,rumor,2065,0.1199,0.0397
time:1h,10,outdegree_obs,nonrumor,2138,0.0584,0.0072
time:1h,10,greedy_oracle,all,4203,0.1271,0.0496
time:1h,10,greedy_oracle,rumor,2065,0.1672,0.0919
