post_id,image_id,content,post_text,label,event_label,category,领域
3910000000000000.0,"http://ww3.sinaimg.cn/large/62b31d36gw1expshp70k2j20hm0btmyk.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1expshtpnlrj20hm0br76y.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1expshufgp2j20hm0c1dh8.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1expshwcfsjj20hm0bq40l.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1expsi2gfrdj20hm0loq8o.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1expsi67migj20hm0od76f.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1expsi95pbyj20hm0bijtg.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1expsido73zj20hm0ayq4r.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1expsiherz4j20hm0azwfj.jpg|null
",移民分配的村子太烂我们走了媒体报道部分被分配到东德小村sumte的移民因为失望而决定离开有移民告诉记者他们之前告诉我们会去法兰克福结果却把我们送到了这个荒无人烟的地方他们觉得太无聊这个东德小村庄原有居民102人第一批移民周一到达750位移民让当地人口剧增了7倍多,移民 分配 村子 太烂 走 媒体 报道 媒体报道 部分 分配 东德 小村 sumte 移民 失望 决定 离开 移民 告诉 记者 之前 告诉 会 法兰 兰克 法兰克 法兰克福 送到 无人 人烟 荒无人烟 地方 觉得 太 无聊 东德 村庄 原有 居民 102 第一 一批 第一批 移民 周一 到达 750 位 移民 人口 剧增 倍,0,0,社会,无领域
3900000000000000.0,"http://ww2.sinaimg.cn/large/563a2b53jw1exl77nkup7j20c30f3q4j.jpg|http://ww4.sinaimg.cn/large/563a2b53jw1exl77nbi9sj20c308lmxt.jpg|http://ww1.sinaimg.cn/large/563a2b53jw1exl77ndbwuj20c307g759.jpg|null
",佳作推荐陈铁建回忆李新与中华民国史青山依旧在往事不如烟李新与中华民国史,佳作 推荐 陈铁建 回忆 李新 中华 民国 中华民国 史 青山 依旧 往事 烟 李新 中华 民国 中华民国 史,0,1,教育,政治
3900000000000000.0,"http://ww1.sinaimg.cn/large/005ldo0ygw1ex23r23vj9j30lf0lf795.jpg|http://ww1.sinaimg.cn/large/005ldo0ygw1ex23r90vbsj30cs07zjs5.jpg|http://ww1.sinaimg.cn/large/005ldo0ygw1ex23rdfuqcj30xo0k6di0.jpg|null
",gijc15挪威大会上两位网络搜索专家的分享场场爆满深度君连推三篇专家的网络搜索技巧既有实用工具和小贴士也有实例1十款强力人肉搜索工具bbc搜索专家十款强力人肉搜索工具2一小时内人肉起底恐怖分子bbc搜索专家十款强力人肉搜索工具3核查事实小贴士网页链接,gijc15 挪威 大会 两位 网络 搜索 专家 分享 场场 爆满 深度 君连 推 三篇 专家 网络 搜索 技巧 既有 实用 用工 工具 实用工具 小贴士 实例 十款 强力 肉 搜索 工具 bbc 搜索 专家 十款 强力 肉 搜索 工具 小时 内人 人肉 内人肉 起底 恐怖 分子 恐怖分子 bbc 搜索 专家 十款 强力 肉 搜索 工具 核查 事实 小贴士 网页 链接,0,1,娱乐,无领域
3900000000000000.0,"http://ww3.sinaimg.cn/large/62b31d36gw1exfcmxxnrnj20qq0j178c.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1exfcmyz8agj20qq0hu77k.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1exfcn11jysj20qq0f1n0l.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1exfcn2ti8yj20qq0u3108.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1exfcn49vtjj20qq0ijdn1.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1exfcn5if57j20qq0ju7am.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1exfcn6vyx7j20qq0gzn28.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1exfcna7z5jj20qq0jfag2.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1exfcncxf0tj20qq0hwn1s.jpg|null
",震区实况昨天袭击南亚地区的地震已经造成了超过200人死亡1000人受伤具体的伤亡人数依然在统计中阿富汗塔哈尔省还有12名女学生在试图逃离学校时发生的踩踏事故中身亡此次地震的震中距离2005年造成75万人死亡的大地震震中很近,震区 实况 昨天 袭击 南亚 地区 南亚地区 地震 已经 造成 超过 200 死亡 1000 受伤 具体 伤亡 人数 伤亡人数 依然 统计 中 阿富汗 塔 哈尔 省 12 名女 学生 试图 逃离 学校 时 发生 踩踏 事故 中 身亡 地震 震中 距离 2005 年 造成 75 万人 死亡 地震 震中 很近,0,0,社会,国际
3900000000000000.0,"http://ww3.sinaimg.cn/large/0060kjm0jw1exdjaeabrcj30f00a00wn.jpg|http://ww3.sinaimg.cn/large/0060kjm0jw1exdjaeiqadj30xc0m8tdw.jpg|null
",專訪湯森路透中國事業部總經理杜洋〡習近平訪英後倫敦人民幣市場還缺什么對於包括香港在內的金融市場而言他們最關注的是中國在英國首次發行了人民幣國債此舉將對倫敦離岸人民幣市場意味著什麼？倫敦離岸人民幣業務的發展對香港會有什麼影響？网页链接,專訪 湯森 路透 中國 事業部 總經理 杜洋 〡 習近 平訪 英後倫敦 人民 幣市 場還 缺什么 對 於 包括 香港 內 金融 市場 他們 關注 中國 英國 首次 發行 人民 幣國 債此 舉將 對倫敦 離岸 人民 幣市場 意味 意味著 什麼 倫敦 離岸 人民 幣業務 發展 對 香港 會有 什麼 影響 网页 链接,0,0,经济,无领域
3900000000000000.0,"http://ww2.sinaimg.cn/large/65dfab2dgw1exd9a0f116j20i80pcafd.jpg|http://ww1.sinaimg.cn/large/65dfab2dgw1exd9aj4q5mj20ia0iaady.jpg|http://ww1.sinaimg.cn/large/65dfab2dgw1exd9admaa7j20i80pc7aw.jpg|http://ww2.sinaimg.cn/large/65dfab2dgw1exd9af6djxj20i90peq9i.jpg|http://ww2.sinaimg.cn/large/65dfab2dgw1exd9auh226j20sg13dk27.jpg|http://ww4.sinaimg.cn/large/65dfab2dgw1exd9aa07h6j20i80pcwjg.jpg|http://ww3.sinaimg.cn/large/65dfab2dgw1exd9akq1ngj20i80pcq7p.jpg|http://ww4.sinaimg.cn/large/65dfab2dgw1exd9annsd4j20ia0ia42d.jpg|http://ww2.sinaimg.cn/large/65dfab2dgw1exd9apzqquj20i80pcq5t.jpg|null
",联合国70周年过去24小时在地球的每一个角落用联合国蓝点亮世界网页链接,联合 联合国 70 周年 过去 24 小时 地球 一个 角落 联合 联合国 蓝 点亮 世界 网页 链接,0,2,国际,无领域
3900000000000000.0,"http://ww2.sinaimg.cn/large/6efdbbf1gw1excdo9mtpgj20hs0dc76m.jpg|http://ww1.sinaimg.cn/large/6efdbbf1gw1excdoa0tbwj20hs0dcabx.jpg|http://ww2.sinaimg.cn/large/6efdbbf1gw1excdoafcujj20hs0dcdhc.jpg|http://ww1.sinaimg.cn/large/6efdbbf1gw1excdoasrrij20hs0dcabr.jpg|http://ww1.sinaimg.cn/large/6efdbbf1gw1excdo98i6yj20hs0dcjta.jpg|http://ww3.sinaimg.cn/large/6efdbbf1gw1excdob87sfj20hs0dcdie.jpg|http://ww3.sinaimg.cn/large/6efdbbf1gw1excdobnfinj20hs0dcmzl.jpg|http://ww4.sinaimg.cn/large/6efdbbf1gw1excdoc0r9dj20hs0dctax.jpg|http://ww4.sinaimg.cn/large/6efdbbf1gw1excdocgixej20hs0dcabx.jpg|null
",好久不观察周围今天回家发现家附近50米的商铺基本全被两类公司占据了要么地产中介要么融资理财哎一个地产行业养活多少中国人呀除了一个可怜的富安娜还算是实业商铺标题还特别讽刺冬天来了准备好了么,好久 观察 周围 今天 回家 发现 家 附近 50 米 商铺 基本 全 两类 公司 占据 地产 中介 融资 理财 一个 地产 行业 养活 中国 一个 可怜 富安 安娜 富安娜 算是 实业 商铺 标题 特别 讽刺 冬天 准备,0,1,社会,经济
3900000000000000.0,"http://ww4.sinaimg.cn/large/62b31d36gw1ex7xtv7059j20hm0cvt9s.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xtx9hoqj20hm0skjuo.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xu0fhlqj20hm0al74w.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xu7by6mj20hm0pu41n.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xubswzvj20hm0diwg0.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xucra56j20hm0xbwjs.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xufqe75j20hm0bidhg.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xui97uaj20hm0bqdhd.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xukarhbj20hm0bqdhu.jpg|null
",闪耀的中国第一夫人所有人的目光都聚焦在她身上有英国媒体如此描述访问仪式和各类活动中的中国国家主席夫人彭丽媛女士有英国媒体将她称为整个访问活动中真正的明星,闪耀 中国 第一 一夫 夫人 第一夫人 有人 所有人 目光 聚焦 身上 英国 媒体 描述 访问 仪式 各类 活动 中 中国 国家 主席 夫人 彭丽媛 女士 英国 媒体 称为 整个 访问 活动 中 真正 明星,0,1,娱乐,国际
3900000000000000.0,"http://ww4.sinaimg.cn/large/62b31d36gw1ex7xdj9x6tj20qq0httf0.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xdmaylgj20qq0htwjt.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xdo95n6j20qq0hragu.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xdplhjyj20qq0hdad6.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xdrycokj20qq0hrn1s.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7xdtf7iej20qq0hr40w.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7xdwt0edj20qq0h2tby.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xdzcpemj20qq0hpdlx.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xe18dq9j20qq0h8wjb.jpg|null
",难民危机斯洛文尼亚指责克罗地亚将成千上万的移民不加控制地送往该国是不负责任斯国政府谴责克罗地亚没根据欧盟的要求接纳移民并呼吁其他欧盟国家站出来解决危机该国宣称自己每天只能接受2500移民入境而该国已经接纳了8300位难民斯政府目前只能动用大批警力维持边境和移民队伍的秩序,难民 危机 尼亚 斯洛文尼亚 指责 克罗 地亚 罗地亚 克罗地亚 成千 上万 千上万 成千上万 移民 加 控制 送往 该国 不负 负责 责任 不负责任 斯国 政府 谴责 克罗 地亚 罗地亚 克罗地亚 没 欧盟 要求 接纳 移民 呼吁 欧盟 国家 站 解决 危机 该国 宣称 每天 只能 接受 2500 移民 入境 该国 已经 接纳 8300 位 难民 政府 斯政府 目前 只能 动用 大批 警力 维持 边境 移民 队伍 秩序,0,1,国际,无领域
3900000000000000.0,"http://ww2.sinaimg.cn/large/62b31d36gw1ex7wbqt3scj20qq0ke0wm.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wbt1pbwj20qq0htgp6.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wbvrs3ij20qq0iujup.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7wbym0hnj20qq0ht7b2.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wc42laoj20qq0ht79y.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wc8wbicj20d20jk414.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7wcj4599j20qq0hs42q.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7wcqk9t1j20qq0k244r.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7wd3mouuj20qq0htjyb.jpg|null
",中国国家主席习近平访英,中国 国家 主席 习近平 访英,0,1,政治,无领域
